기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20252,11140540,회현동,4472620,2078863,2393757,161107,542732,971033,1016640,817375,963730,316377,988720,1156678,1091757,702602,216483,714100,724155,769863,753515,716505,457529,336953
20252,11140520,소공동,2572626,1274823,1297803,178769,413538,647394,609786,419369,303771,167970,600619,615645,596981,461208,130202,418332,413573,455654,446377,414814,230426,193451
20252,11110710,숭인2동,5360471,2632258,2728212,398954,1071956,865248,760312,907435,1356566,1281510,1139479,735586,724016,842515,637367,751381,755993,756594,759937,760997,764867,810699
20252,11110700,숭인1동,2283555,1097279,1186276,228507,336809,350553,351224,390751,625711,562395,465135,278858,286514,403894,286758,324271,324914,322503,320371,320645,332444,338408
20252,11110690,창신3동,934584,431887,502696,129220,119065,132518,146093,159153,248535,278312,198800,95721,93995,139981,127776,131176,131266,133063,133823,129052,136685,139520
20252,11110680,창신2동,4689181,2265478,2423702,300134,716916,562095,572991,998104,1538943,1327245,972094,513524,513517,751062,611739,666009,673626,659706,660552,664367,678611,686310
20252,11110670,창신1동,2894717,1415260,1479457,157880,425920,430498,498237,547791,834392,677869,602927,411249,401424,466113,335137,427656,426146,430561,428091,416476,377411,388376
20252,11110650,혜화동,9403241,4107410,5295831,1540113,3521929,1087137,1035218,1000476,1218369,2245646,1893699,1209557,1201022,1688989,1164327,1307708,1338801,1367016,1361171,1351920,1352923,1323706
20252,11110640,이화동,4841942,2151635,2690307,550443,1164380,912798,777461,693522,743337,778959,952897,802891,871308,957285,478600,683681,709648,758564,743708,727168,627704,591467
20252,11110630,종로5?6가동,5238510,2633150,2605361,378453,835639,815725,854782,960100,1393812,858354,1128013,959823,928038,888730,475551,783320,796111,829659,817405,797900,648083,566033
20252,11110615,종로1?2?3?4가동,14129208,7489578,6639631,673154,2784653,2921230,2729170,2308722,2712278,1418751,2715313,2896348,2974803,2965970,1158023,2150091,2129143,2301595,2258684,2184482,1727527,1377684
20252,11110600,가회동,1244131,593154,650978,188967,180340,225611,236698,197280,215235,183995,269489,243529,247510,203351,96256,182100,184140,192106,189832,184815,160449,150690
20252,11110580,교남동,4167907,1908016,2259891,839490,488708,560506,727928,660656,890617,1186118,911549,467424,447021,619330,536465,599367,602350,598645,595835,592425,582265,597017
20252,11110570,무악동,1779593,783121,996472,328439,205857,219065,277682,279530,469021,435198,376050,210373,217878,305034,235062,248027,252582,257594,250811,252037,260759,257784
20252,11110560,평창동,904147,382772,521375,171628,87739,92995,137548,159093,255146,264979,189006,95637,94159,137954,122412,127181,128704,126709,127416,126366,132394,135374
20252,11110550,부암동,931763,408212,523550,190962,123900,104203,141310,150542,220847,231974,199761,121447,117388,144401,116793,135159,136098,137539,135375,133173,126715,127704
20252,11110540,삼청동,1020583,464412,556172,121660,160112,177998,191979,165628,203207,151940,203136,210479,205815,169943,79271,143417,140218,149737,148193,150014,147613,141393
20252,11110530,사직동,4099841,1839397,2260444,383906,631473,832673,840974,686909,723907,458092,860508,824845,816552,809078,330767,600514,592138,644403,636764,617692,518858,489473
20252,11110515,청운효자동,3549035,1454708,2094326,698056,465669,549383,619762,538072,678093,758656,720267,546995,532057,593881,397177,506422,502267,517987,514883,504826,504185,498465
20251,11740700,둔촌2동,6940288,3250082,3690206,1287416,793634,1032118,1109377,1018407,1699336,1920970,1476154,794645,764257,1073401,910862,988515,986729,987329,986838,985292,986580,1019007
